Simon Abrams,Freelance film critic,US,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S."
Simon Abrams,Freelance film critic,US,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China"
Simon Abrams,Freelance film critic,US,The Tree of Life,2011,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S."
Simon Abrams,Freelance film critic,US,Yi Yi: A One and a Two,2000,Edward Yang,1947-11-06,"Shanghai, Republic of China"
Simon Abrams,Freelance film critic,US,Goodbye to Language,2014,Jean-Luc Godard,1930-12-03,"Paris, France"
Simon Abrams,Freelance film critic,US,The White Meadows,2009,Mohammad Rasoulof,1972-11-16,"Shiraz, Imperial State of Iran"
Simon Abrams,Freelance film critic,US,Night Across the Street,2012,Raoul Ruiz,1941-07-25,"Puerto Montt, Chile"
Simon Abrams,Freelance film critic,US,Certified Copy,2010,Abbas Kiarostami,1940-06-22,"Tehran, Imperial State of Iran"
Simon Abrams,Freelance film critic,US,Sparrow,2008,Johnnie To,1955-04-22,British Hong Kong
Simon Abrams,Freelance film critic,US,Fados,2007,Carlos Saura,1932-01-04,"Huesca, Spain"
Sam Adams,Freelance film critic,US,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China"
Sam Adams,Freelance film critic,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France"
Sam Adams,Freelance film critic,US,Syndromes and a Century,2006,Apichatpong Weerasethakul,None,None
Sam Adams,Freelance film critic,US,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan"
Sam Adams,Freelance film critic,US,The Act of Killing,2012,Joshua Oppenheimer,1974-09-23,"Austin, Texas, U.S."
Sam Adams,Freelance film critic,US,The Grand Budapest Hotel,2014,Wes Anderson,1969-05-01,"Houston, Texas, U.S."
Sam Adams,Freelance film critic,US,The New World,2004,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S."
Sam Adams,Freelance film critic,US,Certified Copy,2010,Abbas Kiarostami,1940-06-22,"Tehran, Imperial State of Iran"
Sam Adams,Freelance film critic,US,The World,2004,Jia Zhangke,1970-05-24,"Fenyang, Shanxi, China"
Sam Adams,Freelance film critic,US,Elephant,2003,Gus Van Sant,1952-07-24,None
Thelma Adams,Freelance film critic,US,Zero Dark Thirty,2012,Kathryn Bigelow,1951-11-27,"San Carlos, California, U.S."
Thelma Adams,Freelance film critic,US,A History of Violence,2005,David Cronenberg,1943-03-15,"Toronto, Ontario, Canada"
Thelma Adams,Freelance film critic,US,The Grand Budapest Hotel,2014,Wes Anderson,1969-05-01,"Houston, Texas, U.S."
Thelma Adams,Freelance film critic,US,Stories We Tell,2012,Sarah Polley,1979-01-08,"Toronto, Ontario, Canada"
Thelma Adams,Freelance film critic,US,Casino Royale,2006,Martin Campbell,1943-10-24,"Hastings, New Zealand"
Thelma Adams,Freelance film critic,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France"
Thelma Adams,Freelance film critic,US,Tabu,2012,Miguel Gomes,None,None
Thelma Adams,Freelance film critic,US,Snow White,2012,Pablo Berger,None,None
Thelma Adams,Freelance film critic,US,Frozen River,2008,Courtney Hunt,None,None
Thelma Adams,Freelance film critic,US,Gosford Park,2001,Robert Altman,1925-02-20,"Kansas City, Missouri, U.S."
Arturo Aguilar,Rolling Stone Mexico,Mexico,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China"
Arturo Aguilar,Rolling Stone Mexico,Mexico,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S."
Arturo Aguilar,Rolling Stone Mexico,Mexico,Inception,2010,Christopher Nolan,1970-07-30,"London, England"
Arturo Aguilar,Rolling Stone Mexico,Mexico,Pan's Labyrinth,2006,Guillermo Del Toro,1964-10-09,"Guadalajara, Jalisco, Mexico"
Arturo Aguilar,Rolling Stone Mexico,Mexico,Caché,2005,Michael Haneke,1942-03-23,"Munich, Germany"
Arturo Aguilar,Rolling Stone Mexico,Mexico,Grizzly Man,2005,Werner Herzog,1942-09-05,None
Arturo Aguilar,Rolling Stone Mexico,Mexico,"4 Months, 3 Weeks & 2 Days",2007,Cristian Mungiu,1968-04-27,"Iași, Romania"
Arturo Aguilar,Rolling Stone Mexico,Mexico,Holy Motors,2012,Leos Carax,1960-11-22,None
Arturo Aguilar,Rolling Stone Mexico,Mexico,The Last of the Unjust,2013,Claude Lanzmann,1925-11-27,"Paris, France"
Arturo Aguilar,Rolling Stone Mexico,Mexico,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S."
Matthew Anderson,BBC Culture,UK,The Piano Teacher,2001,Michael Haneke,1942-03-23,"Munich, Germany"
Matthew Anderson,BBC Culture,UK,Margaret,2011,Kenneth Lonergan,1962-10-16,"The Bronx, New York, U.S."
Matthew Anderson,BBC Culture,UK,American Psycho,2000,Mary Harron,1953-01-12,"Bracebridge, Ontario, Canada"
Matthew Anderson,BBC Culture,UK,"4 Months, 3 Weeks & 2 Days",2007,Cristian Mungiu,1968-04-27,"Iași, Romania"
Matthew Anderson,BBC Culture,UK,Caché,2005,Michael Haneke,1942-03-23,"Munich, Germany"
Matthew Anderson,BBC Culture,UK,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S."
Matthew Anderson,BBC Culture,UK,Lourdes,2009,Jessica Hausner,1972-10-06,"Vienna, Austria"
Matthew Anderson,BBC Culture,UK,Red Road,2006,Andrea Arnold,1961-04-05,None
Matthew Anderson,BBC Culture,UK,Boyhood,2014,Richard Linklater,1960-07-30,"Houston, Texas, U.S."
Matthew Anderson,BBC Culture,UK,Tony Manero,2008,Pablo Larraín,1976-08-19,"Santiago, Chile"
Tim Appelo,The Wrap,US,No Country For Old Men,2007,Joel and Ethan Coen,1954-11-29,None
Tim Appelo,The Wrap,US,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan"
Tim Appelo,The Wrap,US,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran"
Tim Appelo,The Wrap,US,Pan's Labyrinth,2006,Guillermo Del Toro,1964-10-09,"Guadalajara, Jalisco, Mexico"
Tim Appelo,The Wrap,US,Finding Nemo,2003,Andrew Stanton and Lee Unkrich,None,None
Tim Appelo,The Wrap,US,Hero,2002,Zhang Yimou,1951-11-14,None
Tim Appelo,The Wrap,US,The Wolf of Wall Street,2013,Martin Scorsese,1942-11-17,"New York City, U.S."
Tim Appelo,The Wrap,US,Mother,2009,Bong Joon-ho,1969-09-14,"Daegu, South Korea"
Tim Appelo,The Wrap,US,The Bourne Ultimatum,2007,Paul Greengrass,1955-08-13,"Cheam, Surrey, England"
Tim Appelo,The Wrap,US,Traffic,2000,Steven Soderbergh,1963-01-14,"Atlanta, Georgia, US"
Adriano Aprà,Film historian,Italy,These Encounters of Theirs,2006,Danièle Huillet and Jean-Marie Straub,None,None
Adriano Aprà,Film historian,Italy,Vincere,2009,Marco Bellocchio,1939-11-09,"Bobbio, Italy"
Adriano Aprà,Film historian,Italy,Le quattro volte,2010,Michelangelo Frammartino,None,"Milan, Italy"
Adriano Aprà,Film historian,Italy,The Profession of Arms,2001,Ermanno Olmi,1931-07-24,"Bergamo, Italy"
Adriano Aprà,Film historian,Italy,Gostanza da Libbiano,2000,Paolo Benvenuti,1946-01-30,"Pisa, Italy"
Adriano Aprà,Film historian,Italy,Storia di una donna amata e di un assassino gentile,2009,Luigi M. Faccini,None,None
Adriano Aprà,Film historian,Italy,At the First Breath of Wind,2003,Franco Piavoli,1933-06-21,"Pozzolengo, Lombardy, Italy"
Adriano Aprà,Film historian,Italy,Sangue,2013,Pippo Delbono,None,None
Adriano Aprà,Film historian,Italy,Terra,2015,Marco De Angelis and Antonio Di Trapani,None,None
Adriano Aprà,Film historian,Italy,Oh! Man,2004,Yervant Gianikian and Angela Ricci Lucchi,None,None
Michael Arbeiter,Nerdist,US,"Synecdoche, New York",2008,Charlie Kaufman,1958-11-19,"New York City, U.S."
Michael Arbeiter,Nerdist,US,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S."
Michael Arbeiter,Nerdist,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France"
Michael Arbeiter,Nerdist,US,Black Swan,2010,Darren Aronofsky,1969-02-12,"New York City, U.S."
Michael Arbeiter,Nerdist,US,The Comedy,2012,Rick Alverson,1971-06-25,"Spokane, Washington, U.S."
Michael Arbeiter,Nerdist,US,Melancholia,2011,Lars von Trier,1956-04-30,"Kongens Lyngby, Denmark"
Michael Arbeiter,Nerdist,US,Inglourious Basterds,2009,Quentin Tarantino,1963-03-27,None
Michael Arbeiter,Nerdist,US,Inside Llewyn Davis,2013,Joel and Ethan Coen,1954-11-29,None
Michael Arbeiter,Nerdist,US,Only Lovers Left Alive,2013,Jim Jarmusch,1953-01-22,"Cuyahoga Falls, Ohio, U.S."
Michael Arbeiter,Nerdist,US,The Congress,2013,Ari Folman,1962-12-17,"Haifa, Israel"
Ali Arikan,Dipnot TV,Turkey,The Master,2012,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S."
Ali Arikan,Dipnot TV,Turkey,25th Hour,2002,Spike Lee,1957-03-20,"Atlanta, Georgia, U.S."
Ali Arikan,Dipnot TV,Turkey,24 Hour Party People,2002,Michael Winterbottom,1961-03-29,"Blackburn, Lancashire, England"
Ali Arikan,Dipnot TV,Turkey,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S."
Ali Arikan,Dipnot TV,Turkey,Once Upon a Time in Anatolia,2011,Nuri Bilge Ceylan,1959-01-26,"Istanbul, Turkey"
Ali Arikan,Dipnot TV,Turkey,Zodiac,2007,David Fincher,1962-08-28,"Denver, Colorado, U.S."
Ali Arikan,Dipnot TV,Turkey,A Serious Man,2009,Joel and Ethan Coen,1954-11-29,None
Ali Arikan,Dipnot TV,Turkey,Tinker Tailor Soldier Spy,2011,Tomas Alfredson,1965-04-01,"Lidingö, Sweden"
Ali Arikan,Dipnot TV,Turkey,Primer,2004,Shane Carruth,None,"Myrtle Beach, South Carolina, U.S."
Ali Arikan,Dipnot TV,Turkey,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China"
Michael Atkinson,The Village Voice,US,La commune,2000,"Paris, 1871) (Peter Watkins",None,None
Michael Atkinson,The Village Voice,US,Uncle Boonmee Who Can Recall His Past Lives,2010,Apichatpong Weerasethakul,None,None
Michael Atkinson,The Village Voice,US,2046,2004,Wong Kar-wai,1958-07-17,"Shanghai, China"
Michael Atkinson,The Village Voice,US,Adaptation,2002,Spike Jonze,1969-10-22,"New York City, U.S."
Michael Atkinson,The Village Voice,US,Battle in Heaven,2005,Carlos Reygadas,1971-10-10,"Mexico City, Mexico"
Michael Atkinson,The Village Voice,US,Caché,2005,Michael Haneke,1942-03-23,"Munich, Germany"
Michael Atkinson,The Village Voice,US,Inland Empire,2006,David Lynch,1946-01-20,"Missoula, Montana, U.S."
Michael Atkinson,The Village Voice,US,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S."
Michael Atkinson,The Village Voice,US,Mysteries of Lisbon,2010,Raoul Ruiz,1941-07-25,"Puerto Montt, Chile"
Michael Atkinson,The Village Voice,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France"
Ana Maria Bahiana,Freelance film critic,Brazil,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S."
Ana Maria Bahiana,Freelance film critic,Brazil,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S."
Ana Maria Bahiana,Freelance film critic,Brazil,Children of Men,2006,Alfonso Cuarón,1961-11-28,"Mexico City, Mexico"
Ana Maria Bahiana,Freelance film critic,Brazil,City of God,2002,Fernando Meirelles and Kátia Lund,None,None
Ana Maria Bahiana,Freelance film critic,Brazil,Pan's Labyrinth,2006,Guillermo Del Toro,1964-10-09,"Guadalajara, Jalisco, Mexico"
Ana Maria Bahiana,Freelance film critic,Brazil,Inception,2010,Christopher Nolan,1970-07-30,"London, England"
Ana Maria Bahiana,Freelance film critic,Brazil,The Incredibles,2004,Brad Bird,1957-09-24,"Kalispell, Montana, U.S."
Ana Maria Bahiana,Freelance film critic,Brazil,Birdman,2014,Alejandro González Iñárritu,1963-08-15,"Mexico City, Mexico"
Ana Maria Bahiana,Freelance film critic,Brazil,No Country For Old Men,2007,Joel and Ethan Coen,1954-11-29,None
Ana Maria Bahiana,Freelance film critic,Brazil,Brokeback Mountain,2005,Ang Lee,1954-10-23,"Chaozhou, Pingtung, Taiwan"
Cameron Bailey,Toronto Film Festival,Canada,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China"
Cameron Bailey,Toronto Film Festival,Canada,12 Years a Slave,2013,Steve McQueen,1930-03-24,"Beech Grove, Indiana, U.S."
Cameron Bailey,Toronto Film Festival,Canada,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan"
Cameron Bailey,Toronto Film Festival,Canada,Fish Tank,2009,Andrea Arnold,1961-04-05,None
Cameron Bailey,Toronto Film Festival,Canada,Mommy,2014,Xavier Dolan,1989-03-20,"Montreal, Quebec, Canada"
Cameron Bailey,Toronto Film Festival,Canada,Talk to Her,2002,Pedro Almodóvar,1949-09-25,"Calzada de Calatrava, Spain"
Cameron Bailey,Toronto Film Festival,Canada,Timbuktu,2014,Abderrahmane Sissako,1961-10-13,"Kiffa, Mauritania"
Cameron Bailey,Toronto Film Festival,Canada,Selma,2014,Ava DuVernay,1972-08-24,"Long Beach, California, U.S."
Cameron Bailey,Toronto Film Festival,Canada,The White Ribbon,2009,Michael Haneke,1942-03-23,"Munich, Germany"
Cameron Bailey,Toronto Film Festival,Canada,The Headless Woman,2008,Lucrecia Martel,1966-12-14,"Salta, Argentina"
Lindsay Baker,BBC Culture,UK,The Royal Tenenbaums,2001,Wes Anderson,1969-05-01,"Houston, Texas, U.S."
Lindsay Baker,BBC Culture,UK,Far From Heaven,2002,Todd Haynes,1961-01-02,"Los Angeles, California, U.S."
Lindsay Baker,BBC Culture,UK,Moonrise Kingdom,2012,Wes Anderson,1969-05-01,"Houston, Texas, U.S."
Lindsay Baker,BBC Culture,UK,Lost in Translation,2003,Sofia Coppola,1971-05-14,"New York City, U.S."
Lindsay Baker,BBC Culture,UK,A Single Man,2009,Tom Ford,1961-08-27,"Austin, Texas, U.S."
Lindsay Baker,BBC Culture,UK,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan"
Lindsay Baker,BBC Culture,UK,Toy Story 3,2010,Lee Unkrich,1967-08-08,"Cleveland, Ohio, U.S."
Lindsay Baker,BBC Culture,UK,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France"
Lindsay Baker,BBC Culture,UK,I Am Love,2009,Luca Guadagnino,1971-08-10,"Palermo, Sicily, Italy"
Lindsay Baker,BBC Culture,UK,Donnie Darko,2001,Richard Kelly,None,None
Miriam Bale,Freelance film critic,US,Inherent Vice,2014,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S."
Miriam Bale,Freelance film critic,US,Film socialisme,2010,Jean-Luc Godard,1930-12-03,"Paris, France"
